498235547685756928	236	124
498243332204949504	1	0
498265524397432832	2	1
498266827676741632	4	2
498272808560889858	0	0
498312902928244736	0	1
498313376888799232	0	0
498314073873055744	0	0
498411979091218432	0	0
498519407375941632	0	0
498710112358244352	0	0
498785502062190592	0	0
498846056050741248	1	0
498850250048946176	0	0
498248415223246848	410	104
498249378226638848	0	0
498250605916598272	0	0
498250816566751232	0	1
498251169740111873	5	3
498253312433475584	1	0
498256513761177600	0	0
498256762701488128	1	0
498257625625018369	0	0
498258870758699008	0	0
498261453133320192	3	0
498263008410206208	0	0
498264441025495040	0	0
498265877716795392	0	0
498266109582532608	0	0
498266356924817408	0	0
498268663858741248	0	1
498272031017009152	0	1
498276038179569664	0	0
498276281369493504	0	0
498282043328167936	0	0
498303693327187968	0	0
498439183388536832	3	0
498439279031230464	0	1
498495557636083712	0	0
498495844748771329	0	0
498671169080266752	2	2
498248648699150336	469	67
498249492777275392	0	0
498249922647699456	1	0
498250278794063872	2	0
498251140296097794	214	26
498251179563171840	2	3
498251391836913664	0	0
498251423453564929	0	0
498251605696061440	0	0
498251633646526464	0	0
498251686779949056	5	0
498251765783859200	11	3
498251790748758016	1	0
498252113877925888	0	0
498252830335971328	4	0
498253237028261888	1	0
498253447490453505	0	0
498253900420358145	3	0
498255316270993408	0	0
498255885353766912	3	3
498256338213171201	7	0
498256463962177536	2	0
498258535218954240	0	0
498259431050973186	0	0
498260144916930560	1	1
498260235417427968	2	0
498260640394649600	1	1
498261030716571648	1	1
498261753046659073	2	2
498263515120300032	0	0
498270362464174080	0	0
498273992999202817	2	2
498276203674226688	0	0
498277320646733824	0	0
498277369409728512	0	0
498279268191727616	0	0
498288729560465408	0	0
498291267185684480	0	0
498297017630998528	0	1
498297160094740480	0	0
498297194789998592	0	0
498297634033913856	0	0
498298578092433408	0	0
498298734749294592	0	0
498299309339987968	0	0
498299518442815488	0	0
498302288817954817	4	0
498324952018591746	0	0
498341247535181824	0	1
498466492145745920	0	0
498494841886883840	0	0
498497180156846080	0	0
498497682634055680	1	1
498609736875769856	0	0
498610114581237760	0	0
498881069505318912	0	1
498250100079341568	103	13
498252908828164096	0	0
498253041577906176	1	3
498255803288391681	0	0
498261309272498176	0	0
498251940997136384	151	8
498257129925394435	0	0
498267760393080832	1	0
498268176669741056	1	2
498268357628809216	0	0
498269174519443456	2	0
498269950872915969	0	0
499277629082849281	0	1
498253149707464704	122	38
498255103430623232	1	0
498278772026925056	2	2
498253652755111937	150	39
498260457665613824	1	1
498274703526883328	2	3
498284157551009793	2	2
498285740535861248	0	0
498309372104019968	1	0
498386487709548544	0	1
498476794060603392	0	0
498674297918226432	0	0
498254340310966273	293	54
498260814487642112	1	1
498261272174284801	0	0
498261302733967361	2	1
498261642099326976	9	5
498263013250854912	0	0
498263455263379456	4	0
498264019669901313	0	0
498264406405677056	1	3
498264538299768832	2	2
498265438883958786	0	0
498265906074877952	0	0
498266158584573953	0	1
498266310632280066	0	0
498275474838421504	2	1
498275503691030528	1	0
498277799723929600	0	0
498277988773793794	0	0
498280602962259971	0	0
498281435607093248	0	1
498287412985208833	0	0
498546153630478336	0	0
